dep,predictors,proportion,m_try,ntree,rmse,r2,nse,n_test
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,6,2000,0.005788690192224323,0.07,0.0653532583354749,205
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,100,0.0052478678295586716,0.27,0.26707073976602724,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,100,0.005291908967016243,0.25,0.2547173477356838,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,100,0.005313589555305535,0.25,0.24859809440243008,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,100,0.005367812526043398,0.23,0.23318436060230185,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,100,0.005473855279953688,0.2,0.20258774594773388,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,500,0.005211659723522693,0.28,0.27714966351758885,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,500,0.005247220931714078,0.27,0.26725142310309524,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,500,0.005302547532851228,0.25,0.2517177843026993,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,500,0.005348472119106414,0.24,0.2387001303874069,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,500,0.005425137183710856,0.22,0.21671874750561104,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,1000,0.005215903523892257,0.28,0.27597196518018574,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,1000,0.005236858245883362,0.27,0.27014276138774596,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,1000,0.005283861493583686,0.26,0.25698234588119584,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,1000,0.005352835829253176,0.24,0.23745736531149597,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,1000,0.005423063199824005,0.22,0.2173175165773742,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,2000,0.00520783437407019,0.28,0.2782104159365629,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,2000,0.005233163796602515,0.27,0.27117218372499674,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,2000,0.005279916365402834,0.26,0.25809146109201186,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,2000,0.005344586941656072,0.24,0.2398057585892185,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,2000,0.005421442284163368,0.22,0.21778532329501832,819
k,"clay,nitrogen,sand,silt,mean_precip",0.7,2,100,0.005370634167504724,0.25,0.25290420584272455,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,3,100,0.0053858681899927995,0.25,0.24865985945933677,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,4,100,0.005489558344432972,0.22,0.21945137852422458,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,5,100,0.005565098044860118,0.2,0.19782191953190942,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,6,100,0.005626182604574405,0.18,0.18011527024346952,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,2,500,0.00534126125054797,0.26,0.26105384823002165,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,3,500,0.005382063427733328,0.25,0.2497210294614236,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,4,500,0.005419133833072113,0.24,0.23934993994174436,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,5,500,0.0054755884262355364,0.22,0.2234190295131595,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,6,500,0.00556408622081954,0.2,0.1981135906843028,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,2,1000,0.005332067229501494,0.26,0.2635955846948971,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,3,1000,0.005358667132169652,0.26,0.25622990656886213,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,4,1000,0.005404469553529478,0.24,0.24346103720137224,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,5,1000,0.005456664077817919,0.23,0.228777683806192,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,6,1000,0.005554985723801277,0.2,0.20073454108632693,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,2,2000,0.005330743273971973,0.26,0.2639612386198147,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,3,2000,0.005360888018911265,0.26,0.2556132713508601,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,4,2000,0.005396876772415476,0.25,0.24558527886170756,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,5,2000,0.00545711024200387,0.23,0.22865156065134162,615
k,"clay,nitrogen,sand,silt,mean_precip",0.7,6,2000,0.005553297746400579,0.2,0.20122020823974063,615
k,"clay,nitrogen,sand,silt,mean_precip",0.8,2,100,0.005528008959486763,0.27,0.27415874197779433,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,3,100,0.005485244865419521,0.29,0.2853453674689096,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,4,100,0.005572214025760629,0.26,0.26250385884029537,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,5,100,0.005633524528509798,0.25,0.24618538509734111,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,6,100,0.005679363860799863,0.23,0.23386807261000542,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,2,500,0.005504966088635428,0.28,0.28019730211620286,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,3,500,0.005524254440604097,0.28,0.275144362399951,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,4,500,0.005569608745615074,0.26,0.26319332800821227,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,5,500,0.005625335701082353,0.25,0.24837526511452457,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,6,500,0.005710515209833379,0.23,0.22544054573695382,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,2,1000,0.005488046902211323,0.28,0.28461504454250663,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,3,1000,0.005508991352839567,0.28,0.2791442691696451,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,4,1000,0.005549499469904616,0.27,0.2685042577925866,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,5,1000,0.005610224915361702,0.25,0.25240787275188414,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,6,1000,0.0056963506821778465,0.23,0.22927825973694904,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,2,2000,0.005500559624559079,0.28,0.28134917671367266,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,3,2000,0.005506519034478095,0.28,0.2797911334835711,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,4,2000,0.005541807100312602,0.27,0.2705307597433212,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,5,2000,0.005612461456314008,0.25,0.25181169213074894,410
k,"clay,nitrogen,sand,silt,mean_precip",0.8,6,2000,0.005698980152372394,0.23,0.22856655580560004,410
k,"clay,nitrogen,sand,silt,mean_precip",0.9,2,100,0.0058787017250371805,0.22,0.22390765440864935,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,3,100,0.005885252849102914,0.22,0.2221769627029231,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,4,100,0.005983945206140655,0.2,0.1958709244530683,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,5,100,0.005999891711804773,0.19,0.19157939624910147,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,6,100,0.0060718955759137055,0.17,0.172059481024065,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,2,500,0.005854008421665543,0.23,0.2304138645007121,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,3,500,0.005864247212604679,0.23,0.22771946373857055,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,4,500,0.005917430805921757,0.21,0.21364812636278518,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,5,500,0.005953567229871159,0.2,0.20401465179676825,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,6,500,0.00601186961082087,0.19,0.1883483893107587,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,2,1000,0.005859119036572165,0.23,0.22906956333317274,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,3,1000,0.00588133889837388,0.22,0.22321119141161205,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,4,1000,0.005923065943337029,0.21,0.212149735958423,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,5,1000,0.00595527603415739,0.2,0.20355765573929419,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,6,1000,0.006007929446659652,0.19,0.1894119495011577,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,2,2000,0.005850269587983663,0.23,0.23139658796265516,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,3,2000,0.005876862054363093,0.22,0.22439331637820026,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,4,2000,0.005918205132732746,0.21,0.21344231637630906,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,5,2000,0.00594770503156494,0.21,0.2055814189042986,205
k,"clay,nitrogen,sand,silt,mean_precip",0.9,6,2000,0.006005572904113156,0.19,0.19004771282738697,205
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,2,100,0.005027903123259862,0.26,0.25828500267210175,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,3,100,0.00507240846247411,0.25,0.2450960549993937,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,4,100,0.005164039448520171,0.22,0.2175756450489178,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,5,100,0.005296079972506876,0.18,0.17705212714976537,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,6,100,0.00540147616989059,0.14,0.14397157310801512,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,2,500,0.0050005659038026996,0.27,0.26632863544267504,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,3,500,0.005069382095529047,0.25,0.24599658768474086,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,4,500,0.005152568955215295,0.22,0.22104766570133416,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,5,500,0.005247808825747863,0.19,0.19198528622185307,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,6,500,0.005383761413009341,0.15,0.14957725141008915,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,2,1000,0.004999820957598433,0.27,0.2665472126991745,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,3,1000,0.005046456786981653,0.25,0.2528008390820451,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,4,1000,0.005140170906111839,0.22,0.22479176714151328,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,5,1000,0.00522660613935101,0.2,0.198501328947298,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,6,1000,0.005359537565607379,0.16,0.1572128667553443,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,2,2000,0.004995907204588215,0.27,0.267695025620753,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,3,2000,0.005049897604010415,0.25,0.2517815686563666,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,4,2000,0.00514667170961822,0.22,0.2228297066506294,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,5,2000,0.0052248314341312605,0.2,0.19904553769144162,818
k,"clay,nitrogen,sand,mean_annual_air_temp_c,mean_precip",0.6,6,2000,0.005344914964041124,0.16,0.1618054005969125,818
